87.50 ,87.50 ,100.00 ,96.67 ,100.00 ,94.33 
96.25 ,98.75 ,87.50 ,95.42 ,100.00 ,95.58 
88.54 ,84.17 ,87.50 ,100.00 ,87.50 ,89.54 
91.04 ,98.75 ,98.75 ,80.00 ,100.00 ,93.71 
75.00 ,100.00 ,100.00 ,100.00 ,85.00 ,92.00 
100.00 ,93.13 ,99.58 ,100.00 ,80.83 ,94.71 
100.00 ,99.58 ,98.96 ,80.00 ,64.58 ,88.63 
100.00 ,91.46 ,100.00 ,94.38 ,80.42 ,93.25 
92.29 ,87.50 ,100.00 ,93.54 ,93.96 ,93.46 
92.71 ,100.00 ,88.75 ,75.00 ,100.00 ,91.29 
87.50 ,94.17 ,100.00 ,100.00 ,100.00 ,96.33 
85.00 ,100.00 ,100.00 ,79.79 ,99.79 ,92.92 
93.75 ,97.29 ,87.50 ,88.54 ,88.13 ,91.04 
87.50 ,100.00 ,90.63 ,87.50 ,77.92 ,88.71 
99.38 ,97.71 ,100.00 ,98.75 ,87.50 ,96.67 
100.00 ,88.75 ,100.00 ,93.96 ,86.25 ,93.79 
,,,,,92.87 
