89.58 ,87.50 ,96.04 ,97.29 ,100.00 ,94.08 
92.71 ,98.75 ,87.50 ,100.00 ,100.00 ,95.79 
88.54 ,86.25 ,87.50 ,100.00 ,87.50 ,89.96 
87.50 ,100.00 ,100.00 ,85.83 ,100.00 ,94.67 
75.00 ,100.00 ,100.00 ,100.00 ,87.50 ,92.50 
100.00 ,94.58 ,95.83 ,100.00 ,90.21 ,96.13 
100.00 ,100.00 ,99.38 ,68.13 ,71.46 ,87.79 
100.00 ,96.04 ,100.00 ,94.38 ,78.96 ,93.88 
87.50 ,87.50 ,100.00 ,90.00 ,91.25 ,91.25 
92.50 ,100.00 ,90.83 ,75.00 ,100.00 ,91.67 
87.92 ,99.38 ,100.00 ,100.00 ,94.58 ,96.38 
83.96 ,98.75 ,100.00 ,84.17 ,88.13 ,91.00 
92.29 ,95.00 ,87.50 ,95.00 ,92.50 ,92.46 
87.50 ,87.50 ,90.63 ,87.50 ,76.46 ,85.92 
97.08 ,77.50 ,87.71 ,98.54 ,87.50 ,89.67 
100.00 ,88.33 ,100.00 ,93.13 ,95.00 ,95.29 
,,,,,92.40 
