75.00 ,69.17 ,94.79 ,75.00 ,100.00 ,82.79 
100.00 ,73.75 ,87.50 ,100.00 ,100.00 ,92.25 
88.54 ,75.00 ,62.50 ,75.00 ,75.00 ,75.21 
75.00 ,75.63 ,87.50 ,75.00 ,100.00 ,82.63 
75.00 ,100.00 ,75.00 ,100.00 ,82.50 ,86.50 
100.00 ,96.88 ,100.00 ,100.00 ,86.04 ,96.58 
59.38 ,75.63 ,96.46 ,88.96 ,70.00 ,78.08 
100.00 ,88.75 ,100.00 ,79.38 ,76.46 ,88.92 
75.00 ,89.58 ,87.50 ,72.50 ,87.50 ,82.42 
91.46 ,100.00 ,86.04 ,75.00 ,100.00 ,90.50 
62.50 ,83.13 ,100.00 ,75.00 ,97.71 ,83.67 
87.71 ,66.88 ,75.00 ,75.21 ,50.00 ,70.96 
87.50 ,100.00 ,87.50 ,93.54 ,88.13 ,91.33 
87.50 ,100.00 ,68.33 ,87.50 ,76.46 ,83.96 
87.50 ,74.79 ,82.92 ,87.50 ,87.50 ,84.04 
98.75 ,62.50 ,100.00 ,86.88 ,62.50 ,82.13 
,,,,,84.50 
