1.000000000000000000e+02,8.750000000000000000e+01,9.854166412353515625e+01,1.000000000000000000e+02,1.000000000000000000e+02
9.145833587646484375e+01,9.854166412353515625e+01,8.895833587646484375e+01,9.229166412353515625e+01,1.000000000000000000e+02
8.937500000000000000e+01,7.562500000000000000e+01,8.770833587646484375e+01,1.000000000000000000e+02,8.750000000000000000e+01
8.000000000000000000e+01,8.750000000000000000e+01,9.916666412353515625e+01,7.562500000000000000e+01,1.000000000000000000e+02
7.500000000000000000e+01,9.937500000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,8.583333587646484375e+01
1.000000000000000000e+02,9.333333587646484375e+01,8.958333587646484375e+01,1.000000000000000000e+02,8.770833587646484375e+01
1.000000000000000000e+02,1.000000000000000000e+02,9.541666412353515625e+01,7.270833587646484375e+01,7.062500000000000000e+01
1.000000000000000000e+02,8.666666412353515625e+01,1.000000000000000000e+02,9.437500000000000000e+01,7.541666412353515625e+01
9.083333587646484375e+01,8.770833587646484375e+01,1.000000000000000000e+02,9.104166412353515625e+01,9.312500000000000000e+01
9.520833587646484375e+01,1.000000000000000000e+02,8.750000000000000000e+01,7.500000000000000000e+01,1.000000000000000000e+02
9.687500000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
8.770833587646484375e+01,9.395833587646484375e+01,1.000000000000000000e+02,8.375000000000000000e+01,8.604166412353515625e+01
9.395833587646484375e+01,9.916666412353515625e+01,8.750000000000000000e+01,9.833333587646484375e+01,9.916666412353515625e+01
8.750000000000000000e+01,1.000000000000000000e+02,9.083333587646484375e+01,8.750000000000000000e+01,7.583333587646484375e+01
9.833333587646484375e+01,9.229166412353515625e+01,9.000000000000000000e+01,9.479166412353515625e+01,9.000000000000000000e+01
1.000000000000000000e+02,8.875000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,9.208333587646484375e+01
